,Player,Team,FG%,3PM,3P%,FTM,FT%,STL,PF,TD3,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,TO Ratio,USG%,PACE,PIE,POSS,DEF RTG,%DREB,STL%,%BLK,OPPPTSOFFTOV,OPPPTSPAINT,DEFWS,%FGA2PT,%PTS2PT MR,%PTSFBPs,%PTSFT,%PTSOffTO,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST,C&SFGM,C&SFG%,C&S3P%,DFGA,DFG%,ContestedDREB%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance,DriveFGM,DriveFG%,DriveFTM,DriveFT%,DrivePTS%,DrivePASS,DrivePASS%,DriveAST,DriveAST%,DriveTOV%,DrivePF%,ContestedOREB%,DeferredOREB Chances,AdjustedOREB Chance%,AVG OREBDistance,PaintTouches,PaintTouch FGM,PaintTouch FTM,PaintTouch FT%,PaintTouch PTS%,PaintTouch PASS%,PaintTouch AST,PaintTouch AST%,PaintTouch TOV%,PaintTouch PF%,PassesMade,SecondaryAST,ASTToPass%,Pull UpFGM,Pull Up3PM,Pull Up3P%,AvgSpeedOff,AvgSpeedDef,Front CTTouches,AvgDribPerTouch,PTSPerTouch,PTSPerElbow Touch,PTSPerPost Touch,PostTouchFGM,PostTouchFTM,PostTouchFT%,PostTouchPASS%,PostTouchAST,PostTouchAST%,PostTouchTO,PostTouchTOV%,PostTouchPF%
0,Stephen Curry,GSW,48.2,5.3,42.1,5.7,91.6,1.2,1.9,0,4.6,28.3,1.7,17.4,1.3,13.5,10.2,33.1,105.16,18.1,4725.0,109.6,19.9,20.9,3.8,13.0,32.5,0.112,41.3,6.6,11.4,17.9,14.5,58.8,41.2,50.2,49.8,2.5,44.6,43.7,1.4,80.0,16.5,0.7,69.1,8.1,2.7,55.5,1.6,91.6,67.7,4.2,38.5,0.9,8.5,6.0,7.7,55.2,0.0,31.9,11.2,1.0,0.5,0.0,0.0,110.8,15.4,0.0,3.1,3.1,0.0,51.6,1.3,11.2,4.1,2.9,40.9,5.03,3.65,32.6,4.08,0.393,0.922,1.111,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0
1,Bradley Beal,WAS,48.5,2.2,34.9,6.8,88.9,1.2,2.3,0,-0.4,20.2,1.42,13.2,3.3,9.4,9.3,33.1,105.21,14.5,4713.0,114.8,13.6,19.9,11.9,13.1,35.6,0.061,73.0,16.8,7.1,21.7,13.5,72.3,27.7,48.7,51.3,1.6,39.5,38.7,2.0,72.0,19.0,0.6,66.8,7.5,4.5,53.5,2.5,86.2,77.3,4.6,28.9,1.0,6.1,5.9,9.1,40.3,0.2,45.6,9.0,2.3,0.9,0.4,91.7,99.3,18.0,0.1,2.2,5.8,7.9,37.8,0.6,11.7,3.8,0.9,30.8,4.59,3.8,47.5,2.77,0.454,0.667,0.407,0.1,0.0,100.0,29.6,0.0,7.4,0.0,3.7,3.7
2,Damian Lillard,POR,45.1,4.1,39.1,6.7,92.8,0.9,1.5,0,4.0,33.4,2.49,22.5,1.2,10.4,9.0,30.6,100.4,15.8,5014.0,115.6,14.9,17.4,7.0,11.2,35.5,0.054,47.2,7.5,8.4,23.3,12.0,39.3,60.7,27.6,72.4,1.1,46.0,45.4,1.6,78.0,11.2,0.4,70.5,9.1,3.0,51.8,2.4,90.1,64.2,5.0,36.6,1.5,11.2,6.0,10.0,53.1,0.1,28.1,10.9,0.7,0.2,0.1,100.0,63.0,37.0,0.1,8.7,2.2,6.5,51.7,1.0,14.6,4.2,3.0,37.1,4.34,3.51,26.1,5.62,0.354,1.0,1.0,0.1,0.1,100.0,16.0,0.0,4.0,0.0,12.0,16.0
3,Joel Embiid,PHI,51.3,1.1,37.7,9.2,85.9,1.0,2.4,0,12.0,15.6,0.91,10.0,7.8,25.4,11.0,35.2,100.79,20.3,3331.0,105.8,36.0,16.3,37.1,10.5,29.1,0.135,82.9,19.3,6.6,32.5,13.6,87.9,12.1,48.6,51.4,1.4,40.8,36.1,7.7,54.7,33.1,1.7,69.7,4.4,1.1,51.4,0.9,92.3,88.7,0.7,18.3,0.1,2.7,5.4,14.0,76.1,0.1,46.5,5.9,5.3,1.7,2.0,88.6,103.7,14.0,0.1,1.8,4.1,19.6,43.8,0.5,6.5,2.5,0.3,43.8,4.01,3.57,49.7,1.06,0.402,0.574,0.698,3.0,2.4,82.1,32.9,0.5,3.8,0.9,7.0,12.1
4,Giannis Antetokounmpo,MIL,56.9,1.1,30.3,6.5,68.5,1.2,2.8,7,9.8,28.2,1.72,18.7,4.8,26.4,10.8,32.0,104.17,19.6,4359.0,107.3,35.7,21.8,34.6,10.7,29.1,0.13,79.9,5.9,16.6,23.2,14.7,29.9,70.1,41.4,58.6,0.2,23.8,23.1,3.3,51.5,22.8,0.8,77.9,5.3,3.0,63.8,2.2,76.4,75.7,3.6,31.8,1.1,9.9,8.6,12.9,58.8,0.1,40.9,8.6,6.0,2.5,0.8,63.9,96.4,20.8,0.3,4.9,9.0,8.5,41.4,0.5,14.1,2.0,0.9,31.5,4.6,3.53,30.8,2.8,0.402,0.755,0.596,1.0,0.6,63.8,32.0,0.3,7.4,0.4,9.6,10.7
5,Luka Doncic,DAL,47.9,2.9,35.0,5.2,73.0,1.0,2.3,11,3.9,42.5,2.02,23.6,2.4,20.2,11.7,35.0,99.4,17.9,4676.0,112.7,29.3,21.5,17.1,10.0,33.0,0.081,59.4,9.7,5.5,18.8,10.8,23.4,76.6,13.6,86.4,0.5,33.3,34.1,3.0,63.3,19.2,0.9,79.1,5.4,4.8,59.2,2.2,75.5,59.9,8.8,43.1,2.3,11.2,6.4,7.3,64.8,0.1,37.8,7.3,1.0,0.3,0.2,70.0,92.5,16.4,0.0,1.5,9.0,14.9,57.5,0.9,14.9,4.9,2.4,35.6,4.35,3.38,30.5,5.53,0.312,0.348,0.774,0.3,0.3,86.4,31.0,0.1,8.3,0.0,3.6,13.1
6,Zach LaVine,CHI,50.7,3.4,41.9,4.4,84.9,0.8,2.4,0,-0.8,22.5,1.39,16.3,1.8,12.1,11.7,30.2,101.34,14.0,4304.0,113.1,16.9,17.0,14.1,13.4,36.9,0.078,57.5,9.7,12.5,15.9,14.0,51.5,48.5,41.1,58.9,1.3,46.7,48.6,2.2,60.8,14.2,0.7,66.8,6.0,3.2,53.3,1.7,84.9,69.6,3.3,27.5,0.9,7.3,9.5,8.6,47.2,0.1,30.0,9.8,1.3,0.6,0.2,100.0,114.3,16.9,0.1,7.8,7.8,9.1,40.1,0.9,12.1,3.6,2.1,39.0,4.81,3.93,33.9,4.33,0.403,0.96,0.185,0.0,0.0,0.0,40.7,0.0,7.4,0.1,11.1,0.0
7,Zion Williamson,NOP,61.1,0.2,29.4,6.0,69.8,0.9,2.2,0,2.1,18.8,1.35,13.7,8.1,13.1,10.1,28.7,103.3,16.1,4358.0,111.7,18.5,18.4,21.5,12.3,31.9,0.089,96.7,0.7,9.8,22.4,13.5,100.0,0.0,56.0,44.0,0.2,35.7,37.5,3.0,64.5,28.8,0.5,67.0,5.9,3.5,56.8,2.0,65.1,71.9,3.8,29.7,0.9,7.1,7.9,11.8,76.6,0.2,42.5,5.0,7.0,3.5,0.8,63.0,112.4,13.8,0.1,2.1,5.2,8.4,38.2,0.4,9.7,0.1,0.0,0.0,4.87,4.0,34.3,2.73,0.424,0.802,0.658,1.2,0.7,73.3,35.9,0.3,6.1,0.3,7.1,10.2
8,Kevin Durant,BKN,53.7,2.4,45.0,6.0,88.2,0.7,2.0,0,10.7,25.2,1.63,19.1,1.2,18.0,11.8,30.3,103.03,17.2,2489.0,111.1,26.1,16.7,30.4,10.3,32.9,0.095,68.7,19.3,10.8,22.3,11.9,64.7,35.3,52.2,47.8,2.1,47.4,44.5,3.1,58.2,27.4,0.6,70.7,5.7,2.5,57.4,1.8,88.9,85.0,2.2,25.9,0.6,7.1,8.2,12.2,38.5,0.1,23.2,17.6,0.8,0.4,0.1,100.0,122.2,29.6,0.1,7.4,3.7,7.4,41.4,0.7,13.5,3.9,1.0,46.1,4.37,3.48,36.7,2.22,0.401,0.528,0.509,0.9,0.5,94.4,50.9,0.5,11.2,0.3,5.6,5.6
9,Kyrie Irving,BKN,50.6,2.8,40.2,3.7,92.2,1.4,2.6,0,5.6,26.9,2.49,19.9,2.9,10.1,8.0,29.7,101.13,14.9,3976.0,113.8,15.0,27.4,17.5,10.8,35.0,0.07,65.2,15.4,10.9,13.9,10.1,57.9,42.1,33.0,67.0,1.5,44.7,43.4,2.7,67.4,20.0,0.8,62.5,7.6,4.1,56.2,1.3,93.2,79.7,3.4,27.6,1.2,9.8,3.8,5.8,51.9,0.1,37.1,10.1,1.9,0.6,0.2,91.7,72.3,37.6,0.1,7.9,4.0,6.9,51.3,0.8,11.7,4.4,1.3,37.2,4.38,3.6,29.4,3.83,0.345,0.689,0.609,0.1,0.1,100.0,39.1,0.0,0.0,0.0,4.3,8.7
