,Player,TEAM,AGE,W,DEF RTG,DREB%,%DREB,STL,STL%,%BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,DEFWS
0,Anthony Edwards,MIN,19,23,115.6,12.1,17.8,1.1,19.5,14.6,11.3,9.8,10.4,34.1,0.048
1,Bojan Bogdanovic,UTA,32,52,107.3,9.9,13.9,0.6,15.6,1.6,11.5,7.9,7.8,33.3,0.121
2,Duncan Robinson,MIA,27,40,108.3,10.9,15.6,0.6,11.7,11.0,10.6,7.8,6.7,26.8,0.113
3,Dwayne Bacon,ORL,25,21,112.8,10.2,14.2,0.6,16.9,3.1,8.0,5.9,7.6,26.2,0.06
4,Enes Freedom,POR,29,42,114.8,28.1,40.4,0.5,14.9,27.9,6.8,6.8,6.8,25.0,0.042
5,Georges Niang,UTA,28,52,100.3,11.7,16.2,0.3,14.1,7.0,5.2,4.1,3.5,14.5,0.097
6,Ivica Zubac,LAC,24,47,109.3,20.0,27.0,0.3,11.7,51.7,7.8,5.2,6.0,21.0,0.075
7,Justin Holiday,IND,32,34,111.2,9.8,14.6,1.0,19.5,14.6,9.9,8.9,8.5,33.5,0.085
8,Mikal Bridges,PHX,24,51,110.0,9.9,14.3,1.1,20.9,28.4,10.1,8.9,8.1,32.1,0.101
9,Nikola Jokic,DEN,26,47,112.6,23.7,33.4,1.3,23.2,23.1,10.8,7.7,9.6,32.1,0.082
10,RJ Barrett,NYK,21,41,107.2,13.0,18.7,0.7,14.6,7.5,11.0,8.6,8.0,32.5,0.138
11,Andrew Wiggins,GSW,26,38,109.1,10.6,15.3,0.9,16.9,31.4,12.2,9.7,9.6,31.9,0.112
12,Buddy Hield,SAC,28,31,116.3,12.6,18.8,0.9,16.7,12.8,12.4,10.1,9.3,38.2,0.043
13,Eric Bledsoe,NOP,31,31,114.8,10.0,13.9,0.8,17.0,12.2,11.5,7.5,8.5,29.8,0.051
14,Julius Randle,NYK,26,40,106.8,22.7,32.4,0.9,17.0,6.9,12.2,9.0,8.4,34.4,0.153
15,Patrick Williams,CHI,19,30,113.5,13.1,18.0,0.9,26.0,23.8,10.8,7.1,7.6,29.8,0.059
16,Robin Lopez,WAS,33,34,109.0,9.2,13.1,0.2,8.4,47.3,6.6,4.8,3.9,17.8,0.064
17,Royce O'Neale,UTA,28,51,107.3,16.2,22.4,0.8,19.5,13.3,11.3,7.7,7.9,33.4,0.123
